order_id;date;item_name;item_type;item_price;quantity;transaction_amount;transaction_type;received_by;time_of_sale;day_of_week;mes_ano;month_year
1;3/7/22;aalopuri;Fastfood;20;13;260;Online;Mr.;Night;Sunday;2022-07;2022-07
2;23/8/22;vadapav;Fastfood;20;15;300;Cash;Mr.;Afternoon;Tuesday;2022-08;2022-08
3;20/11/22;vadapav;Fastfood;20;1;20;Cash;Mr.;Afternoon;Sunday;2022-11;2022-11
4;3/2/23;sugarcane juice;Beverages;25;6;150;Online;Mr.;Night;Friday;2023-02;2023-02
5;2/10/22;sugarcane juice;Beverages;25;8;200;Online;Mr.;Evening;Sunday;2022-10;2022-10
6;14/11/22;vadapav;Fastfood;20;10;200;Cash;Mr.;Evening;Monday;2022-11;2022-11
7;3/5/22;sugarcane juice;Beverages;25;9;225;Cash;Mr.;Evening;Tuesday;2022-05;2022-05
8;22/12/22;panipuri;Fastfood;20;14;280;Online;Mr.;Night;Thursday;2022-12;2022-12
9;10/6/22;panipuri;Fastfood;20;1;20;Cash;Mrs.;Morning;Friday;2022-06;2022-06
10;16/9/22;panipuri;Fastfood;20;5;100;Online;Mr.;Afternoon;Friday;2022-09;2022-09
11;1/12/22;frankie;Fastfood;50;8;400;Online;Mrs.;Afternoon;Thursday;2022-12;2022-12
12;12/7/22;vadapav;Fastfood;20;8;160;Online;Mrs.;Night;Tuesday;2022-07;2022-07
13;22/12/22;panipuri;Fastfood;20;9;180;Online;Mrs.;Afternoon;Thursday;2022-12;2022-12
14;25/11/22;frankie;Fastfood;50;4;200;Online;Mr.;Morning;Friday;2022-11;2022-11
15;3/2/23;aalopuri;Fastfood;20;3;60;Cash;Mrs.;Evening;Friday;2023-02;2023-02
16;14/4/22;sandwich;Fastfood;60;11;660;Cash;Mrs.;Midnight;Thursday;2022-04;2022-04
17;16/10/22;panipuri;Fastfood;20;11;220;Cash;Mrs.;Morning;Sunday;2022-10;2022-10
18;5/11/22;panipuri;Fastfood;20;10;200;Cash;Mrs.;Night;Saturday;2022-11;2022-11
19;22/8/22;panipuri;Fastfood;20;11;220;Cash;Mrs.;Night;Monday;2022-08;2022-08
20;15/9/22;cold coffee;Beverages;40;10;400;Online;Mr.;Night;Thursday;2022-09;2022-09
21;21/12/22;cold coffee;Beverages;40;15;600;Cash;Mr.;Evening;Wednesday;2022-12;2022-12
22;4/10/22;sugarcane juice;Beverages;25;12;300;Online;Mr.;Evening;Tuesday;2022-10;2022-10
23;26/5/22;sandwich;Fastfood;60;3;180;Online;Mr.;Midnight;Thursday;2022-05;2022-05
24;11/2/23;sugarcane juice;Beverages;25;10;250;Online;Mr.;Afternoon;Saturday;2023-02;2023-02
25;31/8/22;sandwich;Fastfood;60;1;60;Online;Mrs.;Evening;Wednesday;2022-08;2022-08
26;18/8/22;sugarcane juice;Beverages;25;4;100;Cash;Mr.;Afternoon;Thursday;2022-08;2022-08
27;12/10/22;cold coffee;Beverages;40;11;440;Online;Mrs.;Afternoon;Wednesday;2022-10;2022-10
28;6/1/23;cold coffee;Beverages;40;10;400;Online;Mrs.;Afternoon;Friday;2023-01;2023-01
29;10/2/23;sugarcane juice;Beverages;25;9;225;Online;Mr.;Afternoon;Friday;2023-02;2023-02
30;28/1/23;frankie;Fastfood;50;2;100;Cash;Mrs.;Night;Saturday;2023-01;2023-01
31;14/9/22;cold coffee;Beverages;40;13;520;Online;Mrs.;Evening;Wednesday;2022-09;2022-09
32;6/5/22;aalopuri;Fastfood;20;4;80;Online;Mr.;Morning;Friday;2022-05;2022-05
33;5/2/23;aalopuri;Fastfood;20;13;260;Online;Mr.;Night;Sunday;2023-02;2023-02
34;4/2/23;frankie;Fastfood;50;12;600;Online;Mrs.;Evening;Saturday;2023-02;2023-02
35;22/5/22;vadapav;Fastfood;20;8;160;Cash;Mr.;Morning;Sunday;2022-05;2022-05
36;2/7/22;cold coffee;Beverages;40;10;400;Online;Mr.;Afternoon;Saturday;2022-07;2022-07
37;5/1/23;frankie;Fastfood;50;10;500;Cash;Mr.;Night;Thursday;2023-01;2023-01
38;8/3/23;panipuri;Fastfood;20;12;240;Online;Mrs.;Night;Wednesday;2023-03;2023-03
39;14/5/22;vadapav;Fastfood;20;2;40;Online;Mr.;Evening;Saturday;2022-05;2022-05
40;5/2/23;sandwich;Fastfood;60;5;300;Online;Mrs.;Night;Sunday;2023-02;2023-02
41;13/11/22;cold coffee;Beverages;40;11;440;Cash;Mr.;Afternoon;Sunday;2022-11;2022-11
42;9/5/22;aalopuri;Fastfood;20;8;160;Online;Mrs.;Night;Monday;2022-05;2022-05
43;26/5/22;vadapav;Fastfood;20;1;20;Cash;Mr.;Night;Thursday;2022-05;2022-05
44;28/8/22;cold coffee;Beverages;40;12;480;Cash;Mr.;Evening;Sunday;2022-08;2022-08
45;15/8/22;sugarcane juice;Beverages;25;6;150;Cash;Mrs.;Afternoon;Monday;2022-08;2022-08
46;7/5/22;vadapav;Fastfood;20;7;140;Cash;Mr.;Evening;Saturday;2022-05;2022-05
47;10/7/22;sandwich;Fastfood;60;7;420;Online;Mr.;Morning;Sunday;2022-07;2022-07
48;23/2/23;sandwich;Fastfood;60;14;840;Online;Mr.;Afternoon;Thursday;2023-02;2023-02
49;6/11/22;frankie;Fastfood;50;4;200;Online;Mrs.;Morning;Sunday;2022-11;2022-11
